reactome_id	name	snps
R-HSA-194315	Signaling by Rho GTPases	rs1354034, rs1007738, rs4821469, rs735854, rs7112925, rs11712165, rs1738074, rs5751614, rs801114, rs13194491, rs10411210, rs4821544, rs212388, rs7671167, rs4742269, rs6625163, rs12344583, rs4906172, rs6699417, rs2283792, rs4838605, rs9929218, rs1493682, rs5919432, rs2869967, rs9315204, rs10776612, rs3776331, rs437943, rs3780792, rs2084385, rs11842874, rs6845865, rs3753242, rs8042680, rs2735839, rs1552224, rs11158493, rs6063312, rs3889237, rs438034, rs5031002, rs7660702, rs2062583
R-HSA-9006936	Signaling by TGF-beta family members	rs4939827, rs7905537, rs744910, rs967417, rs17760296, rs10021303, rs1063192, rs12423712, rs2302189, rs3219090, rs16912145, rs3753242, rs1859156, rs7789197, rs227731, rs9642880, rs5943057
R-HSA-195721	Signaling by WNT	rs6056209, rs10903122, rs956237, rs710841, rs1869901, rs7903146, rs1733724, rs9298506, rs13194491, rs16826658, rs7901695, rs1802295, rs2257205, rs4944092, rs831571, rs2566755, rs6118083, rs9466056, rs4962416, rs415430, rs10958409, rs9623117, rs139909, rs3807989, rs2853676, rs7922491, rs3796804, rs9357155, rs2306677, rs2074404, rs291353, rs7349332, rs3736228, rs2659546, rs999943, rs11158493, rs12484776, rs1513670, rs3889237, rs1504749, rs2736100, rs9642880, rs2517388
R-HSA-445355	Smooth Muscle Contraction	rs1926203, rs3758354, rs2084385, rs2900976, rs1551943
R-HSA-390522	Striated Muscle Contraction	rs909116, rs12476289, rs365990
R-HSA-5683826	Surfactant metabolism	rs6420094, rs2075726, rs869244, rs2289700
R-HSA-69239	Synthesis of DNA	rs831571, rs2277339, rs16991615, rs236114, rs837763, rs690705, rs16912145, rs8102137, rs2069408, rs9357155
R-HSA-1428517	The citric acid (TCA) cycle and respiratory electron transport	rs7142881, rs2896526, rs6792584, rs2039485, rs732528
R-HSA-75944	Transcription from mitochondrial promoters	
R-HSA-452723	Transcriptional regulation of pluripotent stem cells	rs7579899, rs11767557, rs6761, rs10521222, rs6670655, rs3130501, rs744166, rs6068020
R-HSA-381340	Transcriptional regulation of white adipocyte differentiation	rs11868035, rs224278, rs13236689, rs3218097, rs7665090, rs11968166, rs12423712, rs1648707, rs266717, rs10096633, rs12678919, rs10876993, rs2083637, rs7315438
R-HSA-72766	Translation	rs10507380, rs7716600, rs7638110, rs16892766, rs1534166, rs12420464, rs6031882, rs12580100, rs6604026, rs2280401
R-HSA-112315	Transmission across Chemical Synapses	rs4764043, rs6056209, rs1127065, rs242557, rs1869901, rs8043440, rs8070723, rs12658202, rs2160519, rs758642, rs7805747, rs3110496, rs183211, rs2877716, rs9990174, rs12797755, rs13224682, rs12914385, rs10501570, rs651164, rs2283792, rs17148090, rs29232, rs8099939, rs6118083, rs2601828, rs950776, rs7076247, rs199533, rs12201676, rs1051730, rs9303401, rs263238, rs4764039, rs10455248, rs7798500, rs10774021, rs10491334, rs7795096, rs7069923, rs16868941, rs4640244, rs2070615, rs291353, rs3027409, rs363512, rs3885683, rs2439312, rs517811, rs8042374, rs6695567, rs1564348, rs10898392, rs3743200, rs3889237, rs8079702, rs10121009, rs12807809, rs12207601
R-HSA-112307	Transmission across Electrical Synapses	
R-HSA-381119	Unfolded Protein Response (UPR)	rs10927875, rs12048904, rs17608766, rs1534166, rs2217332, rs4689388
R-HSA-72086	mRNA Capping	rs6761
R-HSA-75072	mRNA Editing	rs2838815
R-HSA-165159	mTOR signalling	rs7805747, rs7795096, rs17036350, rs180515, rs3764640
R-HSA-72312	rRNA processing	rs10507380, rs6725887, rs2416257, rs12580100, rs6604026, rs2280401
R-HSA-72306	tRNA processing	rs6908425, rs10495903, rs703842, rs2206734, rs2274432, rs4294134, rs7578597, rs13429458, rs12199222, rs6766510, rs2071598, rs7590268, rs7756992, rs12478601, rs7754840, rs4712523, rs1465618
R-HSA-5619084	ABC transporter disorders	rs4149268, rs5215, rs831571, rs2515629, rs2575876, rs4299376, rs12686004, rs6544713, rs6756629, rs16856332, rs5219, rs3905000, rs9357155, rs552976
R-HSA-1369062	ABC transporters in lipid homeostasis	rs3764650, rs425215, rs4299376, rs6544713, rs6756629
R-HSA-163680	AMPK inhibits chREBP transcriptional activation activity	rs7805747, rs1648707, rs7795096, rs266717, rs12230440, rs3764640
R-HSA-381033	ATF6 (ATF6-alpha) activates chaperones	
R-HSA-450408	AUF1 (hnRNP D0) binds and destabilizes mRNA	rs831571, rs9357155
R-HSA-2161541	Abacavir metabolism	
R-HSA-2161517	Abacavir transmembrane transport	rs7758229, rs1481012, rs2231142, rs9364554, rs651164, rs1564348
R-HSA-2978092	Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate	
R-HSA-1300645	Acrosome Reaction	
R-HSA-1592389	Activation of Matrix Metalloproteinases	rs1555322, rs495366, rs4789939, rs783147
R-HSA-2151209	Activation of PPARGC1A (PGC-1alpha) by phosphorylation	rs7805747, rs7795096
R-HSA-5617472	Activation of anterior HOX genes in hindbrain development during early embryogenesis	rs2300478, rs1529672, rs224278, rs2839627, rs11897119, rs1435703, rs234720, rs6028945, rs2839619, rs4601609, rs6761, rs6670655, rs13194491, rs2517388
R-HSA-879415	Advanced glycosylation endproduct receptor signaling	rs2070600, rs17030613, rs2283792, rs11618202
R-HSA-5423646	Aflatoxin activation and detoxification	rs255049, rs255052, rs5751901, rs6686643, rs2472304
R-HSA-209776	Amine-derived hormones	
R-HSA-70614	Amino acid synthesis and interconversion (transamination)	rs391300, rs477992
R-HSA-5620912	Anchoring of the basal body to the plasma membrane	rs2236164, rs7798500, rs11154801, rs13224682, rs1007738, rs784411, rs2301436, rs4906172
R-HSA-6803157	Antimicrobial peptides	rs2274910, rs3093023, rs569214, rs3093024
R-HSA-75153	Apoptotic execution phase	rs10946808, rs7236477, rs1941184, rs2084385, rs242557, rs9929218, rs8070723, rs11618202
R-HSA-446203	Asparagine N-linked glycosylation	rs633715, rs7993214, rs12138950, rs10760706, rs12658202, rs183211, rs10913469, rs516636, rs7111341, rs9378688, rs10873876, rs4906172, rs11220462, rs10994397, rs7159888, rs13333226, rs17608766, rs16861329, rs2216228, rs2236653, rs4227, rs10937275, rs3815148, rs199533, rs10438933, rs454305, rs10743430, rs2280543, rs11898505, rs4293393, rs910316, rs11602954, rs8007846, rs10483776, rs10761482, rs655601, rs6031882, rs17030613, rs4948418
R-HSA-2022090	Assembly of collagen fibrils and other multimeric structures	rs495366, rs525410, rs7319311, rs3742207, rs7044529, rs441051, rs12621278, rs946053, rs893817, rs10874639
R-HSA-68867	Assembly of the pre-replicative complex	rs837763, rs831571, rs16991615, rs9357155, rs236114
R-HSA-73929	Base-Excision Repair, AP Site Formation	
R-HSA-210991	Basigin interactions	rs3807989, rs10919071, rs8101881, rs12621278
R-HSA-3858494	Beta-catenin independent WNT signaling	rs9623117, rs139909, rs6056209, rs710841, rs956237, rs1869901, rs7903146, rs7922491, rs16826658, rs3796804, rs7901695, rs9357155, rs2306677, rs4944092, rs291353, rs831571, rs2659546, rs999943, rs12484776, rs6118083, rs3889237
R-HSA-9018678	Biosynthesis of specialized proresolving mediators (SPMs)	rs4086116, rs2472304, rs2470893, rs10509680, rs2185570, rs1057910
R-HSA-70895	Branched-chain amino acid catabolism	rs10513789, rs10518693
R-HSA-450385	Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA	rs4902647, rs4902642, rs4899260
R-HSA-8851680	Butyrophilin (BTN) family interactions	rs13194984, rs3763313, rs3117098, rs3806156, rs10947262, rs1980493
R-HSA-5621481	C-type lectin receptors (CLRs)	rs831571, rs4072037, rs10781500, rs2413583, rs4077515, rs2659546, rs2084385, rs999943, rs968451, rs16912145, rs290986, rs7238078, rs9357155, rs7665090, rs2306677, rs1109501, rs8016947
R-HSA-375170	CDO in myogenesis	rs4925189, rs4468878, rs1366594, rs11695685, rs2298574, rs1970546, rs9960767, rs944260, rs613872
R-HSA-8874211	CREB3 factors activate genes	
R-HSA-1296052	Ca2+ activated K+ channels	rs13376333, rs4979906
R-HSA-8955332	Carboxyterminal post-translational modifications of tubulin	rs2011905, rs7539409
R-HSA-5620920	Cargo trafficking to the periciliary membrane	rs12210050, rs2066938, rs6918152, rs9814870, rs10488172, rs11739663
R-HSA-5357769	Caspase activation via extrinsic apoptotic signalling pathway	rs768048, rs2234978, rs7504990, rs11141915, rs13278062
R-HSA-421270	Cell-cell junction organization	rs4925189, rs4468878, rs3784962, rs13078807, rs9292394, rs2298574, rs1970546, rs4701252, rs11645366, rs7255066, rs7905537, rs1474747, rs10489849, rs8055236, rs3816995, rs6122972, rs9929218, rs4783244, rs6462411, rs4479806, rs6563943, rs944260
R-HSA-446353	Cell-extracellular matrix interactions	rs2268983
R-HSA-2559583	Cellular Senescence	rs9623117, rs139909, rs2244012, rs1063192, rs10946808, rs6590330, rs13194491, rs2069408, rs2088885, rs744166, rs7979673, rs1776897, rs12424086, rs2282978, rs8756, rs12484776, rs1321311, rs2283792, rs16912145, rs11221332, rs4601609, rs445, rs8102137, rs12143943, rs7665090, rs10876993, rs7742369, rs1801516
R-HSA-189200	Cellular hexose transport	rs13129697, rs737267, rs16890979, rs3775948, rs6834555, rs733175
R-HSA-3371556	Cellular response to heat stress	rs1801516, rs1127065, rs17036350, rs4294134, rs2283792, rs2234962, rs12199222
R-HSA-2262749	Cellular response to hypoxia	rs831571, rs7579899, rs16912145, rs9472138, rs9357155
R-HSA-163765	ChREBP activates metabolic gene expression	
R-HSA-390466	Chaperonin-mediated protein folding	rs291353, rs429608, rs8102137, rs4903031, rs10456809, rs744166
R-HSA-6798163	Choline catabolism	
R-HSA-983169	Class I MHC mediated antigen processing & presentation	rs3769124, rs13236689, rs2523809, rs17277546, rs4713693, rs13390159, rs1394125, rs1568657, rs5754217, rs4821544, rs3129055, rs831571, rs13160562, rs2523608, rs9468925, rs11643520, rs2247056, rs10871454, rs3772130, rs16912145, rs6565681, rs4821112, rs13437082, rs2437258, rs12913832, rs2860580, rs11630290, rs6966038, rs30187, rs9357155, rs17116334, rs1667394, rs27434, rs2430212, rs10484554, rs3757354, rs9264942, rs7208487
R-HSA-8856828	Clathrin-mediated endocytosis	rs2228671, rs2562784, rs6511720, rs541041, rs3811647, rs1564282, rs3851179, rs6673480, rs7577851, rs673548, rs693, rs12989701, rs830998, rs454305, rs6917747, rs1413885, rs16889440, rs1350666, rs1011731, rs860413, rs1049296, rs11668477, rs3194051, rs6754295, rs7561528, rs1799852, rs6897932, rs678962, rs536841, rs237238, rs744373, rs2502731, rs11979158, rs1867504, rs2544390, rs1167796, rs1755289, rs10810865
R-HSA-1650814	Collagen biosynthesis and modifying enzymes	rs10874639, rs7319311, rs3742207, rs7044529, rs606452, rs4956211, rs1816002, rs441051, rs946053, rs1227756, rs7077164
R-HSA-1442490	Collagen degradation	rs10874639, rs495366, rs855791, rs7319311, rs3742207, rs7044529, rs4956211, rs441051, rs1227756, rs4820268, rs7077164
R-HSA-140875	Common Pathway of Fibrin Clot Formation	rs6056, rs749005, rs867186
R-HSA-166658	Complement cascade	rs10033900, rs2794520, rs6701713, rs3818361, rs6677604, rs2808630, rs1329428, rs569214, rs3813948, rs11265260, rs12093699, rs12034383
R-HSA-388841	Costimulation by the CD28 family	rs9271366, rs987870, rs7775228, rs9277535, rs1378942, rs2301271, rs3077, rs4819388, rs4132509, rs17036350, rs6457617, rs7453920, rs2856718, rs3129890, rs3135363, rs1024161, rs762421, rs9357152, rs2647012, rs10484561, rs13192471, rs2084385, rs9275572, rs9275698, rs3135338, rs3129882, rs2647044, rs231735, rs2858331, rs7774434, rs11158493, rs6903608, rs6051520, rs9282641, rs864537, rs2056626, rs660895, rs4675374, rs7765379
R-HSA-8949613	Cristae formation	
R-HSA-1834949	Cytosolic sensors of pathogen-associated DNA	rs1059513, rs2562519, rs167769, rs7665090, rs7097, rs2073145, rs1772408, rs8016947
R-HSA-1489509	DAG and IP3 signaling	rs13224682, rs263238, rs1127065, rs999943, rs7798500, rs10491334, rs10495928, rs758642, rs3889237, rs2601828, rs2877716, rs2306677
R-HSA-2172127	DAP12 interactions	rs2523608, rs3780792, rs9468925, rs4713693, rs2247056, rs12344583, rs290986, rs10484554, rs9471576, rs13437082, rs9264942
R-HSA-168928	DDX58/IFIH1-mediated induction of interferon-alpha/beta	rs610604, rs4815617, rs8016947, rs2070600, rs1990760, rs10133111, rs16912145, rs2327832, rs2230926, rs889312, rs7665090, rs16886165, rs11618202
R-HSA-5693606	DNA Double Strand Break Response	rs13194491, rs1801516, rs2244012, rs9402515, rs3768716, rs2218488, rs6435862, rs12913832, rs1547014, rs738722, rs2240466, rs365132, rs1667394
R-HSA-5334118	DNA methylation	rs13194491
R-HSA-68952	DNA replication initiation	rs2277339
R-HSA-69190	DNA strand elongation	rs690705, rs16991615, rs2277339, rs236114
R-HSA-429947	Deadenylation of mRNA	
R-HSA-9605310	Defective Base Excision Repair Associated with MUTYH	
R-HSA-5545483	Defective Mismatch Repair Associated With MLH1	
R-HSA-5632928	Defective Mismatch Repair Associated With MSH2	
R-HSA-5632927	Defective Mismatch Repair Associated With MSH3	
R-HSA-5632968	Defective Mismatch Repair Associated With MSH6	
R-HSA-5632987	Defective Mismatch Repair Associated With PMS2	
R-HSA-3296482	Defects in vitamin and cofactor metabolism	rs11254363, rs7122539, rs6602175, rs10513789, rs10508517, rs1801239, rs7134594, rs7651039
R-HSA-195253	Degradation of beta-catenin by the destruction complex	rs831571, rs7903146, rs956237, rs4962416, rs11158493, rs7901695, rs9357155
R-HSA-8862803	Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models	rs4601609, rs2153960, rs27524, rs9480865
R-HSA-3299685	Detoxification of Reactive Oxygen Species	rs694739, rs4821544
R-HSA-5688426	Deubiquitination	rs744910, rs6902771, rs7136572, rs17085007, rs2811893, rs543650, rs6435862, rs13194491, rs2823455, rs365132, rs831571, rs4815617, rs6625163, rs968451, rs16912145, rs2327832, rs2230926, rs1539019, rs5743289, rs12143943, rs4939827, rs5919432, rs610604, rs2413583, rs2076756, rs9302752, rs3768716, rs10133111, rs5031002, rs10036748, rs9357155, rs8016947, rs1342326, rs7603514, rs1999805, rs501764, rs1990760, rs2233287, rs40457, rs2504063, rs9642880
R-HSA-189085	Digestion of dietary carbohydrate	
R-HSA-192456	Digestion of dietary lipid	
R-HSA-3781860	Diseases associated with N-glycosylation of proteins	rs4227
R-HSA-3906995	Diseases associated with O-glycosylation of proteins	rs4533267, rs7249094, rs4072037, rs9296015, rs404860, rs17556665, rs4842838, rs12899618, rs7183263, rs1816002, rs6868223, rs3131296, rs443198, rs6795735, rs1427593, rs275380, rs6710518, rs1109501
R-HSA-3560782	Diseases associated with glycosaminoglycan metabolism	rs1574192, rs2352028, rs1064395, rs9523762, rs1008953, rs16946160, rs310501, rs8002779
R-HSA-5609975	Diseases associated with glycosylation precursor biosynthesis	
R-HSA-5687613	Diseases associated with surfactant metabolism	rs2075726
R-HSA-5602358	Diseases associated with the TLR signaling cascade	rs10133111, rs7665090, rs13236689, rs8016947
R-HSA-2474795	Diseases associated with visual transduction	rs1667255
R-HSA-5663084	Diseases of carbohydrate metabolism	rs337847, rs530501
R-HSA-2682334	EPH-Ephrin signaling	rs4764043, rs4404602, rs3780792, rs4764039, rs2084385, rs12344583, rs4821469, rs735854, rs2160519, rs3110496, rs731174, rs10074258, rs11767557, rs10932886, rs2032794, rs2502731
R-HSA-8939211	ESR-mediated signaling	rs9623117, rs139909, rs6902771, rs543650, rs6761, rs13194491, rs9642880, rs1547374, rs1999805, rs12484776, rs3790844, rs501764, rs2283792, rs4601609, rs2229741, rs2504063, rs454305, rs9803659, rs1746048
R-HSA-114508	Effects of PIP2 hydrolysis	rs11248060, rs999943, rs6561030, rs8035957, rs838705, rs10495928, rs4142110, rs2306677, rs1012053
R-HSA-112303	Electric Transmission Across Gap Junctions	
R-HSA-2395516	Electron transport from NADPH to Ferredoxin	
R-HSA-917729	Endosomal Sorting Complex Required For Transport (ESCRT)	
R-HSA-380972	Energy dependent regulation of mTOR by LKB1-AMPK	rs7805747, rs7795096, rs17036350, rs3764640
R-HSA-1237044	Erythrocytes take up carbon dioxide and release oxygen	
R-HSA-1247673	Erythrocytes take up oxygen and release carbon dioxide	
R-HSA-9027276	Erythropoietin activates Phosphoinositide-3-kinase (PI3K)	rs3805236, rs10758669
R-HSA-9027277	Erythropoietin activates Phospholipase C gamma (PLCG)	rs10758669
R-HSA-9027284	Erythropoietin activates RAS	rs10758669
R-HSA-9027283	Erythropoietin activates STAT5	rs10758669
R-HSA-156842	Eukaryotic Translation Elongation	rs10507380, rs12580100, rs6604026, rs2280401
R-HSA-72613	Eukaryotic Translation Initiation	rs10507380, rs12420464, rs16892766, rs12580100, rs6604026, rs2280401
R-HSA-72764	Eukaryotic Translation Termination	rs10507380, rs12580100, rs6604026, rs2280401
R-HSA-140834	Extrinsic Pathway of Fibrin Clot Formation	rs7586970
R-HSA-75157	FasL/ CD95L signaling	rs2234978
R-HSA-8978868	Fatty acid metabolism	rs4849121, rs2472304, rs854555, rs2470893, rs3734398, rs7805747, rs255052, rs174546, rs5751901, rs2073643, rs7795096, rs7578982, rs2286963, rs2108622, rs4086116, rs1057910, rs12767583, rs2185570, rs17483466, rs1535, rs255049, rs7590720, rs7374394, rs174570, rs4986172, rs10509680
R-HSA-2454202	Fc epsilon receptor (FCERI) signaling	rs2413583, rs3780792, rs2084385, rs7238078, rs9357155, rs2306677, rs16886165, rs8016947, rs831571, rs2659546, rs999943, rs12344583, rs968451, rs8035957, rs2283792, rs16912145, rs290986, rs4601609, rs889312, rs7665090, rs2251746, rs892055
R-HSA-2029480	Fcgamma receptor (FCGR) dependent phagocytosis	rs3780792, rs6001027, rs13230047, rs1801274, rs4821469, rs735854, rs10495928, rs10488031, rs741301, rs2284063, rs2306677, rs11984075, rs999943, rs12344583, rs2283792, rs738322, rs290986, rs864537, rs2056626
R-HSA-6809371	Formation of the cornified envelope	rs1941184, rs2729409, rs7236477, rs3126085, rs4112788, rs748404, rs499697
R-HSA-5661270	Formation of xylulose-5-phosphate	
R-HSA-5652084	Fructose metabolism	
R-HSA-69615	G1/S DNA Damage Checkpoints	rs831571, rs1321311, rs8102137, rs12143943, rs2069408, rs1547014, rs738722, rs9357155, rs1801516
R-HSA-69481	G2/M Checkpoints	rs2244012, rs16991615, rs11661542, rs3768716, rs236114, rs690705, rs13194491, rs2069408, rs6435862, rs1547014, rs365132, rs9357155, rs1667394, rs831571, rs2718812, rs12913832, rs730566, rs738722, rs1801516
R-HSA-430116	GP1b-IX-V activation signalling	rs441051, rs6065
R-HSA-388396	GPCR downstream signalling	rs2228671, rs1574192, rs1354034, rs6561030, rs1869901, rs838705, rs1667255, rs1497546, rs758642, rs1983853, rs4142110, rs10096633, rs2268363, rs3995090, rs673548, rs1588265, rs9523762, rs1348582, rs11214606, rs830998, rs6118083, rs1008953, rs12678919, rs2274459, rs8002779, rs12970134, rs882300, rs10493389, rs495366, rs11668477, rs16946160, rs1387153, rs17864092, rs10052657, rs17691394, rs12101261, rs798544, rs3093023, rs11172113, rs2306677, rs2083637, rs9303521, rs11979158, rs1182188, rs1447352, rs999943, rs2659546, rs13314993, rs8035957, rs11671664, rs2816316, rs2782980, rs17111394, rs4903031, rs6063312, rs3889237, rs4481887, rs4075958, rs1397048, rs2062583, rs6056209, rs11248060, rs6511720, rs1127065, rs947583, rs7591064, rs13405728, rs2250417, rs1466535, rs541041, rs6687840, rs571312, rs10871777, rs1010254, rs3093024, rs4132509, rs2877716, rs1801725, rs1823068, rs1012053, rs2166706, rs693, rs13224682, rs12063142, rs702543, rs8017455, rs12344583, rs2283792, rs29232, rs393152, rs1403543, rs2601828, rs6421571, rs82625, rs1746048, rs4613763, rs11880198, rs263238, rs3780792, rs710446, rs6754295, rs6842241, rs7798500, rs11971186, rs9870680, rs7927370, rs10841496, rs572169, rs11842874, rs798497, rs10491334, rs10495928, rs291353, rs10831496, rs2119704, rs630923, rs4785763, rs154659, rs12367822, rs2352028, rs2544390, rs4650608, rs869244, rs11611208, rs3758354, rs951005, rs12418204
R-HSA-500792	GPCR ligand binding	rs7591064, rs13405728, rs1878022, rs571312, rs1983853, rs10871777, rs16826658, rs3093024, rs2268363, rs1010254, rs1801725, rs3995090, rs2166706, rs4944092, rs12063142, rs8017455, rs11214606, rs29232, rs393152, rs1403543, rs6421571, rs82625, rs10861905, rs1746048, rs415430, rs2274459, rs12970134, rs882300, rs4613763, rs6842241, rs710446, rs1387153, rs17864092, rs11971186, rs9870680, rs572169, rs17691394, rs12101261, rs3093023, rs2074404, rs291353, rs7349332, rs9303521, rs10831496, rs2119704, rs1447352, rs630923, rs4785763, rs13314993, rs154659, rs11671664, rs2782980, rs17111394, rs4676406, rs4650608, rs869244, rs3758354, rs951005
R-HSA-114604	GPVI-mediated activation cascade	rs3753242, rs290986, rs441051, rs3780792, rs12344583
R-HSA-70370	Galactose catabolism	
R-HSA-163841	Gamma carboxylation, hypusine formation and arylsulfatase activation	rs337847, rs794185
R-HSA-157858	Gap junction trafficking and regulation	rs2502731, rs11154022
R-HSA-212436	Generic Transcription Pathway	rs4764043, rs706779, rs3818361, rs6902771, rs2755237, rs2160519, rs339969, rs7805747, rs285480, rs694739, rs6761, rs6435862, rs6065, rs10876432, rs7111341, rs1992950, rs260461, rs4812829, rs7610017, rs9480865, rs12143943, rs730566, rs2234978, rs7812879, rs931608, rs5919432, rs11071559, rs139909, rs987237, rs11661542, rs3219090, rs7090512, rs11979158, rs2282978, rs12484776, rs2504063, rs1768208, rs2718812, rs32579, rs744910, rs8083432, rs7120118, rs2244012, rs7903146, rs7474896, rs6959888, rs10800098, rs4132509, rs2273061, rs4238010, rs12034383, rs7158173, rs2736340, rs2304130, rs11968166, rs1024161, rs2283792, rs10243024, rs6499188, rs4857855, rs8102137, rs738722, rs404860, rs4764039, rs7498403, rs1435703, rs3807989, rs690705, rs9357155, rs12251307, rs1264202, rs1999805, rs1321311, rs7911500, rs3118470, rs110419, rs1801516, rs5742915, rs29941, rs956237, rs6701713, rs710521, rs3764640, rs543650, rs443198, rs816488, rs896854, rs9296015, rs2859631, rs2016266, rs3825214, rs16912145, rs3745672, rs4601609, rs6265, rs3743266, rs730497, rs1063192, rs12423712, rs4724100, rs7795096, rs1424233, rs8028182, rs2069408, rs1800961, rs11611647, rs231735, rs855913, rs1529672, rs809736, rs967417, rs6009824, rs3790844, rs6509701, rs1436900, rs4607517, rs2517388, rs9923451, rs10876993, rs10903122, rs1127065, rs1366594, rs6500818, rs1600249, rs13194491, rs17036350, rs4843747, rs3757840, rs9642880, rs16933812, rs7901695, rs4660531, rs831571, rs11868035, rs3218097, rs6625163, rs2104286, rs3131296, rs6611365, rs445, rs10506328, rs454305, rs4939827, rs9623117, rs2153960, rs9310736, rs3768716, rs10491334, rs2038256, rs1547014, rs13278062, rs340029, rs1490453, rs9472138, rs10937405, rs501764, rs7193343, rs5031002, rs2251219, rs3784609
R-HSA-5696399	Global Genome Nucleotide Excision Repair (GG-NER)	rs3136202, rs690705, rs3219090, rs7603514, rs2113334, rs4950322
R-HSA-163359	Glucagon signaling in metabolic regulation	rs291353, rs13224682, rs2601828, rs263238, rs2877716, rs7798500
R-HSA-70326	Glucose metabolism	rs560887, rs1260326, rs7122539, rs730497, rs4294134, rs7072268, rs780092, rs12199222, rs4607517, rs780094, rs3757840, rs1402837
R-HSA-8982491	Glycogen metabolism	
R-HSA-1630316	Glycosaminoglycan metabolism	rs1574192, rs1064395, rs10865331, rs337847, rs16946160, rs310501, rs10521232, rs3848445, rs530501, rs9523762, rs8047014, rs7306642, rs11220462, rs2352028, rs2236653, rs10438933, rs1008953, rs2500535, rs2038823, rs8002779
R-HSA-389661	Glyoxylate metabolism and glycine degradation	rs37369
R-HSA-982772	Growth hormone receptor signaling	rs11107116, rs10758669, rs7578326, rs2283792, rs2943641, rs979233, rs1341239, rs13188386, rs744166
R-HSA-3214847	HATs acetylate histones	rs9395066, rs13194491, rs3799977, rs6009824, rs10948197
R-HSA-1296061	HCN channels	
R-HSA-3214815	HDACs deacetylate histones	rs16938437, rs12423712, rs1713985, rs13194491
R-HSA-3214842	HDMs demethylate histones	rs7089424, rs4742269
R-HSA-162906	HIV Infection	rs882300, rs2084385, rs13230047, rs6547705, rs10488031, rs6761, rs741301, rs9357155, rs831571, rs1776897, rs169082, rs11984075, rs4294134, rs12199222, rs864537, rs2056626, rs2978263, rs2860580, rs7742369
R-HSA-3371497	HSP90 chaperone cycle for steroid hormone receptors (SHR)	rs12138950, rs1490453, rs17030613, rs6625163, rs5031002, rs4906172, rs5919432
R-HSA-5610787	Hedgehog 'off' state	rs831571, rs263238, rs13224682, rs10483853, rs7798500, rs4724100, rs2601828, rs2877716, rs9357155
R-HSA-5632684	Hedgehog 'on' state	rs831571, rs735172, rs10483853, rs6854783, rs1828591, rs1812175, rs4724100, rs9357155, rs13118928
R-HSA-5358346	Hedgehog ligand biogenesis	rs2352028, rs831571, rs9523762, rs16946160, rs9357155, rs8002779
R-HSA-189451	Heme biosynthesis	
R-HSA-189483	Heme degradation	rs6742078, rs887829
R-HSA-5387390	Hh mutants abrogate ligand secretion	rs831571, rs9357155
R-HSA-6788656	Histidine, lysine, phenylalanine, tyrosine, proline and tryptophan catabolism	
R-HSA-5693538	Homology Directed Repair	rs2718812, rs2244012, rs11661542, rs3768716, rs911263, rs690705, rs1956529, rs3136202, rs3219090, rs13194491, rs4809324, rs6435862, rs2069408, rs365132, rs1667394, rs420259, rs999737, rs6010620, rs12913832, rs730566, rs2113334, rs1801516
R-HSA-450520	HuR (ELAVL1) binds and stabilizes mRNA	rs3889237, rs3803800
R-HSA-381070	IRE1alpha activates chaperones	rs10927875, rs12048904, rs17608766, rs1534166, rs4689388
R-HSA-198933	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	rs2523809, rs2857595, rs4713693, rs6074022, rs6547705, rs3132468, rs3764021, rs5498, rs2596542, rs281437, rs9471576, rs3129055, rs7255066, rs2523608, rs2248462, rs9468925, rs2247056, rs3865444, rs3093030, rs1853665, rs3177980, rs9929218, rs3826656, rs1799969, rs763361, rs2855812, rs441051, rs864537, rs10484554, rs2056626, rs13437082, rs2860580, rs9264942
R-HSA-400508	Incretin synthesis, secretion, and inactivation	rs7903146, rs7901695
R-HSA-168254	Influenza Infection	rs10507380, rs6761, rs4294134, rs12580100, rs6604026, rs2280401, rs12199222
R-HSA-165181	Inhibition of TSC complex formation by PKB	
R-HSA-163754	Insulin effects increased synthesis of Xylulose-5-Phosphate	
R-HSA-264876	Insulin processing	rs7111341, rs6044777, rs4814615, rs6918152, rs852069, rs13266634, rs11739663, rs11581062, rs9985399, rs12210050, rs10488172
R-HSA-354192	Integrin alphaIIb beta3 signaling	rs290986, rs1378942, rs6056, rs786870, rs8035957
R-HSA-2534343	Interaction With Cumulus Cells	
R-HSA-1300644	Interaction With The Zona Pellucida	rs2499604
R-HSA-499943	Interconversion of nucleotide di- and triphosphates	rs11637235
